iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"31-Dec-2014"
Total Net Assets,"$61,654,508"
Shares Outstanding,"1,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.4159","110.38","19,080","$2,106,050","2,106,050.40","Information Technology","2046251","US0378331005","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","2.0378","92.45","13,590","$1,256,396","1,256,395.50","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.8793","46.45","24,945","$1,158,695","1,158,695.25","Information Technology","2588173","US5949181045","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.5244","104.57","8,988","$939,875","939,875.16","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.4053","54.82","15,805","$866,430","866,430.10","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.3106","25.27","31,976","$808,034","808,033.52","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.2749","91.09","8,629","$786,016","786,015.61","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.2167","62.58","11,987","$750,146","750,146.46","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.1010","112.18","6,051","$678,801","678,801.18","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.0210","31.15","20,209","$629,510","629,510.35","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.0016","46.78","13,201","$617,543","617,542.78","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.9725","17.89","33,515","$599,583","599,583.35","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.9288","36.29","15,780","$572,656","572,656.20","Information Technology","2463247","US4581401001","NASDAQ"
