"","Date","Ticker","Price"
"1",20070103,"MSFT",29.86
"2",20070104,"MSFT",29.81
"3",20070105,"MSFT",29.64
"4",20070108,"MSFT",29.93
"5",20070109,"MSFT",29.96
"6",20070110,"MSFT",29.66
"7",20070111,"MSFT",30.7
"8",20070112,"MSFT",31.21
"9",20070116,"MSFT",31.16
"10",20070117,"MSFT",31.1
"11",20070118,"MSFT",31
"12",20070119,"MSFT",31.11
"13",20070122,"MSFT",30.72
"14",20070123,"MSFT",30.74
"15",20070124,"MSFT",31.09
"16",20070125,"MSFT",30.45
"17",20070126,"MSFT",30.6
"18",20070129,"MSFT",30.53
"19",20070130,"MSFT",30.48
"20",20070131,"MSFT",30.86
"21",20070201,"MSFT",30.56
"22",20070202,"MSFT",30.19
"23",20070205,"MSFT",29.61
"24",20070206,"MSFT",29.51
"25",20070207,"MSFT",29.37
"26",20070208,"MSFT",29.26
"27",20070209,"MSFT",28.98
"28",20070212,"MSFT",28.94
"29",20070213,"MSFT",29.03
"30",20070214,"MSFT",29.4
"31",20070215,"MSFT",29.46
"32",20070216,"MSFT",28.74
"33",20070220,"MSFT",28.83
"34",20070221,"MSFT",29.35
"35",20070222,"MSFT",29.39
"36",20070223,"MSFT",28.9
"37",20070226,"MSFT",29.07
"38",20070227,"MSFT",27.87
"39",20070228,"MSFT",28.17
"40",20070301,"MSFT",28.09
"41",20070302,"MSFT",27.76
"42",20070305,"MSFT",27.5499
"43",20070306,"MSFT",27.83
"44",20070307,"MSFT",27.61
"45",20070308,"MSFT",27.32
"46",20070309,"MSFT",27.29
"47",20070312,"MSFT",27.44
"48",20070313,"MSFT",26.72
"49",20070314,"MSFT",27.4
"50",20070315,"MSFT",27.28
"51",20070316,"MSFT",27.33
"52",20070319,"MSFT",27.83
"53",20070320,"MSFT",27.84
"54",20070321,"MSFT",28.52
"55",20070322,"MSFT",28.27
"56",20070323,"MSFT",28.02
"57",20070326,"MSFT",28.22
"58",20070327,"MSFT",27.72
"59",20070328,"MSFT",27.64
"60",20070329,"MSFT",27.75
"61",20070330,"MSFT",27.87
"62",20070402,"MSFT",27.74
"63",20070403,"MSFT",27.87
"64",20070404,"MSFT",28.5
"65",20070405,"MSFT",28.55
"66",20070409,"MSFT",28.57
