"Ticker","Name","Asset.Class","Weight....","Price","Shares","Market.Value","Notional.Value","Sector","SEDOL","ISIN","Exchange","Date"
"-","BLACKROCK FDS III","Cash",0.0557,"1","1,433","$1,433","-","S-T Securities","-","-","-","31-Oct-2011"
"-","BLACKROCK FDS III","Cash",0.083,"1","2,163","$2,163","-","S-T Securities","-","-","-","30-Nov-2011"
"-","BLACKROCK FDS III","Cash",0.071,"1","5,676","$5,676","-","S-T Securities","-","-","-","30-Dec-2011"
"-","BLACKROCK FDS III","Cash",0.1246,"1","13,475","$13,475","-","S-T Securities","-","-","-","31-Jan-2012"
"-","BLACKROCK FDS III","Cash",0.1119,"1","15,454","$15,454","-","S-T Securities","-","-","-","29-Feb-2012"
"-","BLACKROCK FDS III","Cash",0.2098,"1","41,442","$41,442","-","S-T Securities","-","-","-","30-Mar-2012"
"-","BLACKROCK FDS III","Cash",0.0641,"1","18,355","$18,355","-","S-T Securities","-","-","-","30-Apr-2012"
"-","BLACKROCK FDS III","Cash",0.17,"1","118,619","$118,619","-","S-T Securities","-","-","-","31-May-2012"
"-","BLACKROCK FDS III","Cash",0.0315,"1","63,874","$63,874","-","S-T Securities","-","-","-","29-Jun-2012"
"-","BLACKROCK FDS III","Cash",0.1235,"1","422,249","$422,249","-","S-T Securities","-","-","-","31-Jul-2012"
"-","BLACKROCK FDS III","Cash",0.0141,"1","50,273","$50,273","-","S-T Securities","-","-","-","31-Aug-2012"
"-","BLACKROCK FDS III","Cash",0.1004,"1","366,835","$366,835","-","S-T Securities","-","-","-","28-Sep-2012"
"-","BLACKROCK FDS III","Cash",0.1744,"1","913,112","$913,112","-","S-T Securities","-","-","-","31-Oct-2012"
"-","BLACKROCK FDS III","Cash",0.1854,"1","1,218,632","$1,218,632","-","S-T Securities","-","-","-","30-Nov-2012"
"-","BLACKROCK FDS III","Cash",0.1645,"1","1,236,225","$1,236,225","-","S-T Securities","-","-","-","31-Dec-2012"
"-","BLACKROCK FDS III","Cash",0.038,"1","474,710","$474,710","-","S-T Securities","-","-","-","31-Jan-2013"
"-","BLACKROCK FDS III","Cash",0.1329,"1","2,280,778","$2,280,778","-","S-T Securities","-","-","-","28-Feb-2013"
"-","BLACKROCK FDS III","Cash",0.4416,"1","11,420,680","$11,420,680","-","S-T Securities","-","-","-","28-Mar-2013"
"-","BLACKROCK FDS III","Cash",0.0579,"1","2,137,516","$2,137,516","-","S-T Securities","-","-","-","30-Apr-2013"
"-","BLACKROCK FDS III","Cash",0.0445,"1","1,728,868","$1,728,868","-","S-T Securities","-","-","-","31-May-2013"
"-","BLACKROCK FDS III","Cash",0.2675,"1","9,557,422","$9,557,422","-","S-T Securities","-","-","-","28-Jun-2013"
"-","BLACKROCK FDS III","Cash",0.0681,"1","1,583,169","$1,583,169","-","S-T Securities","-","-","-","31-Jul-2013"
"-","BLACKROCK FDS III","Cash",0.1754,"1","3,831,798","$3,831,798","-","S-T Securities","-","-","-","30-Aug-2013"
"-","BLACKROCK FDS III","Cash",0.1267,"1","2,572,532","$2,572,532","-","S-T Securities","-","-","-","30-Sep-2013"
"-","BLACKROCK FDS III","Cash",0.0447,"1.00","948,362","$948,362","-","S-T Securities","-","-","-","31-Oct-2013"
"-","BLACKROCK FDS III","Cash",0.1587,"1.00","3,799,503","$3,799,503","-","S-T Securities","-","-","-","29-Nov-2013"
"-","BLACKROCK FDS III","Cash",0.1203,"1.00","2,906,307","$2,906,307","-","S-T Securities","-","-","-","31-Dec-2013"
"-","BLACKROCK FDS III","Cash",0.0931,"1.00","2,200,940","$2,200,940","-","S-T Securities","-","-","-","31-Jan-2014"
"-","BLACKROCK FDS III","Cash",0.0042,"1.00","101,904","$101,904","-","S-T Securities","-","-","-","28-Feb-2014"
"-","BLACKROCK FDS III","Cash",0.1232,"1.00","3,003,952","$3,003,952","-","S-T Securities","-","-","-","31-Mar-2014"
"-","BLACKROCK FDS III","Cash",0.1136,"1","2,883,044","$2,883,044","-","S-T Securities","-","-","-","30-Apr-2014"
"A60","ACTAVIS INC","Equity",0.4512,"154.58","61,933","$9,573,603","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","31-Oct-2013"
"A60","ACTAVIS INC","Equity",0.4698,"163.07","68,961","$11,245,470","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","29-Nov-2013"
"A60","ACTAVIS INC","Equity",0.4777,"168.00","68,706","$11,542,608","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","31-Dec-2013"
"A60","ACTAVIS INC","Equity",0.554,"188.98","69,312","$13,098,582","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","31-Jan-2014"
"A60","ACTAVIS INC","Equity",0.6214,"220.82","68,013","$15,018,631","-","Health Care","B94VGB4","IE00BD1NQJ95","Boerse Berlin","28-Feb-2014"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7986,"65.07","316","$20,562","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Oct-2011"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.8398,"69.22","316","$21,874","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Nov-2011"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.8256,"69.63","948","$66,009","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Dec-2011"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.8957,"76.64","1,264","$96,873","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Jan-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.9765,"85.37","1,580","$134,885","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","29-Feb-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.9881,"88.57","2,204","$195,208","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Mar-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",1.0132,"91.8","3,159","$289,996","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Apr-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.8077,"72.94","7,728","$563,680","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-May-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7588,"68.22","22,531","$1,537,065","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","29-Jun-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.743,"70.15","36,226","$2,541,254","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Jul-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7542,"71.12","37,786","$2,687,340","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Aug-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7209,"68.44","38,494","$2,634,529","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","28-Sep-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7521,"70.94","55,511","$3,937,950","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Oct-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.7754,"73.15","69,657","$5,095,410","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Nov-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.14,"72.35","14,540","$1,051,969","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Dec-2012"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.1361,"73.52","23,140","$1,701,253","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Jan-2013"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.1373,"76.34","30,868","$2,356,463","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","28-Feb-2013"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.1427,"82.65","44,665","$3,691,562","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","28-Mar-2013"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.1413,"83.88","62,164","$5,214,316","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Apr-2013"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.1408,"81.52","67,066","$5,467,220","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-May-2013"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.1415,"81.17","62,264","$5,053,969","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","28-Jun-2013"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.1379,"82.49","38,866","$3,206,056","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Jul-2013"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.1383,"80.07","37,746","$3,022,322","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Aug-2013"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.1385,"82.68","33,996","$2,810,789","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","30-Sep-2013"
"AAP","ADVANCE AUTO PARTS INC","Equity",0.161,"99.18","34,438","$3,415,561","-","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc.","31-Oct-2013"
"AAPL","APPLE INC","Equity",0.1064,"118.93","30,494","$3,626,651","-","Information Technology","2046251","US0378331005","NASDAQ","28-Nov-2014"
"AAPL","APPLE INC","Equity",0.0988,"110.38","32,103","$3,543,529","3,543,529.14","Information Technology","2046251","US0378331005","NASDAQ","31-Dec-2014"
"AAPL","APPLE INC","Equity",0.1059,"117.16","38,274","$4,484,182","4,484,181.84","Information Technology","2046251","US0378331005","NASDAQ","30-Jan-2015"
"AAPL","APPLE INC","Equity",0.1101,"128.46","39,309","$5,049,634","5,049,634.14","Information Technology","2046251","US0378331005","NASDAQ","27-Feb-2015"
"AAPL","APPLE INC","Equity",0.1088,"124.43","40,795","$5,076,122","5,076,121.85","Information Technology","2046251","US0378331005","NASDAQ","31-Mar-2015"
"AAPL","APPLE INC","Equity",0.1101,"125.15","43,027","$5,384,829","5,384,829.05","Information Technology","2046251","US0378331005","NASDAQ","30-Apr-2015"
"AAPL","APPLE INC","Equity",0.4421,"130.28","169,004","$22,017,841","22,017,841.12","Information Technology","2046251","US0378331005","NASDAQ","29-May-2015"
"AAPL","APPLE INC","Equity",0.4373,"125.43","168,276","$21,106,017","21,106,017.30","Information Technology","2046251","US0378331005","NASDAQ","30-Jun-2015"
"AAPL","APPLE INC","Equity",0.4082,"121.3","178,167","$21,611,657","21,611,657.10","Information Technology","2046251","US0378331005","NASDAQ","31-Jul-2015"
"AAPL","APPLE INC","Equity",0.3969,"112.76","206,678","$23,305,011","23,305,011.28","Information Technology","2046251","US0378331005","NASDAQ","31-Aug-2015"
"AAPL","APPLE INC","Equity",0.3928,"110.3","215,584","$23,778,915","23,778,915.20","Information Technology","2046251","US0378331005","NASDAQ","30-Sep-2015"
"AAPL","APPLE INC","Equity",0.4052,"119.5","222,140","$26,545,730","26,545,730.00","Information Technology","2046251","US0378331005","NASDAQ","30-Oct-2015"
"AAPL","APPLE INC","Equity",0.4021,"118.3","231,707","$27,410,938","27,410,938.10","Information Technology","2046251","US0378331005","NASDAQ","30-Nov-2015"
"AAPL","APPLE INC","Equity",0.3589,"105.26","244,789","$25,766,490","25,766,490.14","Information Technology","2046251","US0378331005","NASDAQ","31-Dec-2015"
"AAPL","APPLE INC","Equity",0.3379,"97.34","270,104","$26,291,923","26,291,923.36","Information Technology","2046251","US0378331005","NASDAQ","29-Jan-2016"
"AAPL","APPLE INC","Equity",0.3258,"96.69","328,610","$31,773,301","31,773,300.90","Information Technology","2046251","US0378331005","NASDAQ","29-Feb-2016"
"AAPL","APPLE INC","Equity",0.3502,"108.99","362,833","$39,545,169","39,545,168.67","Information Technology","2046251","US0378331005","NASDAQ","31-Mar-2016"
"AAPL","APPLE INC","Equity",0.3033,"93.74","401,490","$37,635,673","37,635,672.60","Information Technology","2046251","US0378331005","NASDAQ","29-Apr-2016"
"AAPL","APPLE INC","Equity",0.0691,"99.86","91,700","$9,157,162","9,157,162.00","Information Technology","2046251","US0378331005","NASDAQ","31-May-2016"
"AAPL","APPLE INC","Equity",0.0635,"95.6","98,024","$9,371,094","9,371,094.40","Information Technology","2046251","US0378331005","NASDAQ","30-Jun-2016"
"AAPL","APPLE INC","Equity",0.0683,"104.21","100,411","$10,463,830","10,463,830.31","Information Technology","2046251","US0378331005","NASDAQ","29-Jul-2016"
"AAPL","APPLE INC","Equity",0.0702,"106.1","96,538","$10,242,682","10,242,681.80","Information Technology","2046251","US0378331005","NASDAQ","31-Aug-2016"
"AAPL","APPLE INC","Equity",0.0758,"113.05","97,354","$11,005,870","11,005,869.70","Information Technology","2046251","US0378331005","NASDAQ","30-Sep-2016"
"AAPL","APPLE INC","Equity",0.0784,"113.54","91,444","$10,382,552","10,382,551.76","Information Technology","2046251","US0378331005","NASDAQ","31-Oct-2016"
"AAPL","APPLE INC","Equity",0.05,"110.52","56,855","$6,283,615","6,283,614.60","Information Technology","2046251","US0378331005","NASDAQ","30-Nov-2016"
"AAPL","APPLE INC","Equity",0.0514,"115.82","54,535","$6,316,244","6,316,243.70","Information Technology","2046251","US0378331005","NASDAQ","30-Dec-2016"
"AAPL","APPLE INC","Equity",0.0514,"116.61","54,255","$6,326,676","6,326,675.55","Information Technology","2046251","US0378331005","NASDAQ","05-Jan-2017"
"AAPL*","APPLE INC","Equity",0.0943,"404.78","6","$2,429","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)","31-Oct-2011"
"AAPL*","APPLE INC","Equity",0.088,"382.2","6","$2,293","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)","30-Nov-2011"
"AAPL*","APPLE INC","Equity",0.0861,"405","17","$6,885","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)","30-Dec-2011"
"AAPL*","APPLE INC","Equity",0.0971,"456.48","23","$10,499","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)","31-Jan-2012"
"AAPL*","APPLE INC","Equity",0.1139,"542.44","29","$15,731","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)","29-Feb-2012"
"AAPL*","APPLE INC","Equity",0.1244,"599.47","41","$24,578","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)","30-Mar-2012"
"AAPL*","APPLE INC","Equity",0.1164,"584.24","57","$33,302","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)","30-Apr-2012"
"AAPL*","APPLE INC","Equity",0.1151,"577.73","139","$80,304","-","Information Technology","B011001","US0378331005","Bolsa Mexicana De Valores (Mexican Stock Exchange)","31-May-2012"
"ABBV","ABBVIE INC.","Equity",0.822,"36.69","280,059","$10,275,365","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","31-Jan-2013"
"ABBV","ABBVIE INC.","Equity",0.8055,"36.92","374,313","$13,819,636","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","28-Feb-2013"
"ABBV","ABBVIE INC.","Equity",0.8504,"40.78","539,358","$21,995,019","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","28-Mar-2013"
"ABBV","ABBVIE INC.","Equity",0.9368,"46.05","750,690","$34,569,275","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","30-Apr-2013"
"ABBV","ABBVIE INC.","Equity",0.8917,"42.69","811,028","$34,622,785","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","31-May-2013"
"ABBV","ABBVIE INC.","Equity",0.1941,"41.34","167,783","$6,936,149","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","28-Jun-2013"
"ABBV","ABBVIE INC.","Equity",0.2049,"45.48","104,757","$4,764,348","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","31-Jul-2013"
"ABBV","ABBVIE INC.","Equity",0.1984,"42.61","101,717","$4,334,161","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","30-Aug-2013"
"ABBV","ABBVIE INC.","Equity",0.2048,"44.73","92,931","$4,156,804","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","30-Sep-2013"
"ABBV","ABBVIE INC.","Equity",0.2139,"48.45","93,682","$4,538,893","-","Health Care","B8S0P46","US00287Y1091","Nyse Euronext - Euronext Paris","31-Oct-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.7479,"40.8","472","$19,258","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Oct-2011"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.6733,"37.15","472","$17,535","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Nov-2011"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.6582,"37.19","1,415","$52,624","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Dec-2011"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.6799,"38.97","1,887","$73,536","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Jan-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.6392,"37.35","2,364","$88,295","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","29-Feb-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.6578,"39.68","3,275","$129,952","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Mar-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.5984,"37.21","4,603","$171,278","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Apr-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.6016,"36.99","11,349","$419,800","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-May-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.6456,"39.35","33,238","$1,307,915","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","29-Jun-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.6319,"39.7","54,438","$2,161,189","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Jul-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.61,"38.52","56,421","$2,173,337","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Aug-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.5788,"38.71","54,639","$2,115,076","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","28-Sep-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.5955,"39.44","79,059","$3,118,087","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Oct-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.6363,"42.22","99,039","$4,181,427","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Nov-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.8525,"43.18","148,386","$6,407,307","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Dec-2012"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.8526,"45.37","234,909","$10,657,821","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Jan-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.8638,"47.2","313,983","$14,819,998","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","28-Feb-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.8424,"51.45","423,456","$21,786,811","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","28-Mar-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.8645,"54.12","589,445","$31,900,763","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Apr-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.887,"54.08","636,874","$34,442,146","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-May-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.9208,"55.83","589,277","$32,899,335","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","28-Jun-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.9287,"58.27","370,588","$21,594,163","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Jul-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.9374,"56.92","359,828","$20,481,410","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Aug-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.9901,"61.1","328,918","$20,096,890","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Sep-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0131,"65.33","329,034","$21,495,791","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Oct-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0775,"70.53","365,640","$25,788,589","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","29-Nov-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0602,"70.31","364,337","$25,616,534","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Dec-2013"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0467,"67.22","368,198","$24,750,270","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Jan-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0129,"67.85","360,843","$24,483,198","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","28-Feb-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.9737,"65.59","362,064","$23,747,778","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Mar-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.9559,"65.18","372,261","$24,263,972","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Apr-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0627,"73.18","407,681","$29,834,096","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-May-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.3294,"72.66","482,978","$35,093,181","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Jun-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.4285,"76.91","478,074","$36,768,671","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Jul-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.3842,"77.39","489,900","$37,913,361","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","29-Aug-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.3823,"77.3","510,123","$39,432,508","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Sep-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.4708,"85.41","564,380","$48,203,696","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Oct-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.5051,"91.05","563,690","$51,323,975","-","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","28-Nov-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.4886,"90.16","591,943","$53,369,581","53,369,580.88","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Dec-2014"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.5815,"95.05","704,720","$66,983,636","66,983,636.00","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Jan-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.6145,"102.76","720,554","$74,044,129","74,044,129.04","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","27-Feb-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.8162,"113.67","745,317","$84,720,183","84,720,183.39","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Mar-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.8371,"114.3","786,175","$89,859,803","89,859,802.50","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Apr-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.1393,"112.56","504,125","$56,744,310","56,744,310.00","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","29-May-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.1047,"106.34","501,325","$53,310,901","53,310,900.50","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Jun-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0612,"105.75","531,239","$56,178,524","56,178,524.25","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Jul-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0621,"100.04","623,378","$62,362,735","62,362,735.12","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Aug-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0191,"94.99","649,500","$61,696,005","61,696,005.00","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Sep-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.9793,"96.51","664,687","$64,148,942","64,148,942.37","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Oct-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0112,"98.64","698,943","$68,943,738","68,943,737.52","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Nov-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",1.0648,"103.71","737,116","$76,446,300","76,446,300.36","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Dec-2015"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.9367,"89.56","813,755","$72,879,898","72,879,897.80","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","29-Jan-2016"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.8567,"86.62","964,461","$83,541,612","83,541,611.82","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","29-Feb-2016"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.8152,"86.55","1,063,622","$92,056,484","92,056,484.10","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Mar-2016"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.8082,"85.1","1,178,545","$100,294,180","100,294,179.50","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","29-Apr-2016"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.4613,"74.98","815,273","$61,129,170","61,129,169.54","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-May-2016"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.4676,"79.32","869,491","$68,968,026","68,968,026.12","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Jun-2016"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.4955,"85.19","891,362","$75,935,129","75,935,128.78","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","29-Jul-2016"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.4869,"86.97","816,940","$71,049,272","71,049,271.80","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","31-Aug-2016"
"ABC","AMERISOURCEBERGEN CORP","Equity",0.4592,"80.78","825,856","$66,712,648","66,712,647.68","Health Care","2795393","US03073E1055","New York Stock Exchange Inc.","30-Sep-2016"
